restaurant_name	boro	building	street	zipcode	cuisine	inspection_date	action	violation_code	violation_description	critical_flag	score	grade	grade_date	inspection_type
LEE'S VILLA CHINESE RESTAURANT	BROOKLYN	152	LAWRENCE STREET	11201	Chinese	6/22/16	Violations were cited in the following area(s).	10F	Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.	Not Critical	10	A	6/22/16	Cycle Inspection / Re-inspection
DUNKIN DONUTS	MANHATTAN	1433	2ND AVE	10021	Cafe/Coffee/Tea	5/22/15	Violations were cited in the following area(s).	10F	Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.	Not Critical	7	A	5/22/15	Cycle Inspection / Re-inspection
DILLINGERS PUB & GRILL	QUEENS	4619	30 AVENUE	11103	American	8/28/14	Violations were cited in the following area(s).	09A	Canned food product observed dented and not segregated from other consumable food items.	Not Critical	9	A	8/28/14	Cycle Inspection / Re-inspection
WONG WONG NOODLE SHOP	BROOKLYN	5410	8 AVENUE	11220	Chinese	4/29/15	Violations were cited in the following area(s).	06A	Personal cleanliness inadequate. Outer garment soiled with possible contaminant.  Effective hair restraint not worn in an area where food is prepared.	Critical	15	B	4/29/15	Cycle Inspection / Re-inspection
MAIN BAKHTAR HALAL KABAB	QUEENS	6729	MAIN ST	11367	Afghan	2/4/15	Violations were cited in the following area(s).	04M	Live roaches present in facility's food and/or non-food areas.	Critical	11	A	2/4/15	Cycle Inspection / Initial Inspection
SIRENAS	BRONX	1896	JEROME AVENUE	10453	Tex-Mex	6/13/14	Violations were cited in the following area(s).	10F	Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.	Not Critical	7	A	6/13/14	Cycle Inspection / Re-inspection
TEN DEGREES	MANHATTAN	121	ST MARKS PLACE	10009	American	6/3/14	Violations were cited in the following area(s).	10F	Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.	Not Critical	11	A	6/3/14	Cycle Inspection / Initial Inspection
NY FRESH PIZZA	MANHATTAN	787	9 AVENUE	10019	Pizza	5/17/16	Violations were cited in the following area(s).	06A	Personal cleanliness inadequate. Outer garment soiled with possible contaminant.  Effective hair restraint not worn in an area where food is prepared.	Critical	8	A	5/17/16	Cycle Inspection / Initial Inspection
EL PARAISO	MANHATTAN	149	WEST   14 STREET	10011	Chinese	11/10/15	Violations were cited in the following area(s).	04L	Evidence of mice or live mice present in facility's food and/or non-food areas.	Critical	27	B	11/10/15	Cycle Inspection / Re-inspection
BLUESTONE LANE COFFEE	MANHATTAN	805	THIRD AVENUE	10022	Cafe/Coffee/Tea	11/24/15	Violations were cited in the following area(s).	06D	Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.	Critical	10	A	11/24/15	Cycle Inspection / Re-inspection
PIER SIDE CAFE	MANHATTAN	0	PIER 78 WEST 38 STREET	10018	American	3/30/15	Violations were cited in the following area(s).	10F	Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.	Not Critical	9	A	3/30/15	Cycle Inspection / Initial Inspection
FONDA	MANHATTAN	40	AVENUE B	10009	Mexican	10/23/15	Violations were cited in the following area(s).	08A	Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.	Not Critical	12	A	10/23/15	Cycle Inspection / Re-inspection
NEW GARDEN	BRONX	1535	WESTCHESTER AVE	10472	Chinese	6/29/16	Violations were cited in the following area(s).	04M	Live roaches present in facility's food and/or non-food areas.	Critical	10	A	6/29/16	Cycle Inspection / Re-inspection
CANTINA	MANHATTAN	1838	ADAM CLAYTON POWELL JR BL	10026	Mexican	1/6/15	Violations were cited in the following area(s).	06E	Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.	Critical	13	A	1/6/15	Cycle Inspection / Re-inspection
GRAND CAFE/ FRESH ORGANIC	QUEENS	3701	30 AVENUE	11103	Greek	10/6/15	Violations were cited in the following area(s).	08A	Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.	Not Critical	16	B	10/6/15	Cycle Inspection / Re-inspection
ANTOJITOS MEXICANOS	BROOKLYN	107	GRAHAM AVENUE	11206	Mexican	1/21/14	Violations were cited in the following area(s).	10F	Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.	Not Critical	13	A	1/21/14	Cycle Inspection / Re-inspection
KINGS MEN	BROOKLYN	255	MALCOLM X BOULEVARD	11233	Chinese	2/8/16	Violations were cited in the following area(s).	06F	Wiping cloths soiled or not stored in sanitizing solution.	Critical	7	A	2/8/16	Cycle Inspection / Initial Inspection
OREN'S DAILY ROAST	MANHATTAN	29	WAVERLY PL	10003	Cafe/Coffee/Tea	2/14/14	Violations were cited in the following area(s).	10F	Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.	Not Critical	10	A	2/14/14	Cycle Inspection / Initial Inspection
CHIPOTLE MEXICAN GRILL	BROOKLYN	185	MONTAGUE STREET	11201	Tex-Mex	3/18/16	Violations were cited in the following area(s).	10F	Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.	Not Critical	3	A	3/18/16	Cycle Inspection / Initial Inspection
O'REILLY'S OFF FIFTH	MANHATTAN	21	WEST   35 STREET	10001	American	4/22/16	Violations were cited in the following area(s).	04N	Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.	Critical	10	A	4/22/16	Cycle Inspection / Initial Inspection
BBQ VILLAGE	QUEENS	18112	HILLSIDE AVE	11432	Pakistani	8/4/15	Violations were cited in the following area(s).	04L	Evidence of mice or live mice present in facility's food and/or non-food areas.	Critical	18	B	8/4/15	Cycle Inspection / Re-inspection
KNAPP ST PIZZA	BROOKLYN	2157	KNAPP STREET	11229	Pizza/Italian	2/27/14	Violations were cited in the following area(s).	02G	Cold food item held above 41 degrees F (smoked fish and reduced oxygen packaged foods above 38 degrees F) except during necessary preparation.	Critical	13	A	2/27/14	Cycle Inspection / Re-inspection
PHO BANG RESTAURANT	QUEENS	4107	KISSENA BOULEVARD	11355	Vietnamese/Cambodian/Malaysia	5/19/15	Violations were cited in the following area(s).	06C	Food not protected from potential source of contamination during storage, preparation, transportation, display or service.	Critical	5	A	5/19/15	Cycle Inspection / Re-inspection
CIRO'S PIZZA RESTAURANT	QUEENS	171	BEACH  116 STREET	11694	Pizza	10/29/13	Violations were cited in the following area(s).	04J	Appropriately scaled metal stem-type thermometer or thermocouple not provided or used to evaluate temperatures of potentially hazardous foods during cooking, cooling, reheating and holding.	Critical	23	B	10/29/13	Cycle Inspection / Re-inspection
MCDONALD'S	MANHATTAN	151	WEST   34 STREET	10001	Hamburgers	2/2/15	Violations were cited in the following area(s).	06D	Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.	Critical	12	A	2/2/15	Cycle Inspection / Initial Inspection
JOE COFFEE	MANHATTAN	37	E 8TH ST	10003	Cafe/Coffee/Tea	4/20/16	Violations were cited in the following area(s).	10F	Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.	Not Critical	12	A	4/20/16	Cycle Inspection / Initial Inspection
TULCIMEX DELI RESTAURANT	BRONX	2559	BOSTON ROAD	10467	Tex-Mex	2/26/15	Violations were cited in the following area(s).	08C	Pesticide use not in accordance with label or applicable laws. Prohibited chemical used/stored. Open bait station used.	Not Critical	10	A	2/26/15	Cycle Inspection / Re-inspection
MCDONALD'S	QUEENS	7550	101 AVENUE	11416	Hamburgers	2/22/16	Violations were cited in the following area(s).	10F	Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.	Not Critical	11	A	2/22/16	Cycle Inspection / Initial Inspection
SARKU JAPAN TERIYAKI & SUSHI EXPRESS	QUEENS	13336	WHITESTONE EXPRESSWAY	11354	Japanese	10/14/14	Violations were cited in the following area(s).	10F	Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.	Not Critical	8	A	10/14/14	Cycle Inspection / Initial Inspection
BANTER	QUEENS	10822	QUEENS BOULEVARD	11375	Irish	6/25/14	Violations were cited in the following area(s).	10B	Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.	Not Critical	7	A	6/25/14	Cycle Inspection / Re-inspection
FAY DA BAKERY	QUEENS	4024	COLLEGE POINT BOULEVARD	11354	Bakery	9/11/13	Violations were cited in the following area(s).	06C	Food not protected from potential source of contamination during storage, preparation, transportation, display or service.	Critical	12	A	9/11/13	Cycle Inspection / Initial Inspection
LATENS RESTAURANT	QUEENS	11908	MERRICK BLVD	11434	Caribbean	5/12/16	Violations were cited in the following area(s).	02B	Hot food item not held at or above 140 degrees F.	Critical	13	A	5/12/16	Cycle Inspection / Re-inspection
CITY COFFEE	QUEENS	7717	37 AVENUE	11372	American	8/26/13	Violations were cited in the following area(s).	10F	Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.	Not Critical	11	A	8/26/13	Cycle Inspection / Re-inspection
HAPPY WOK	MANHATTAN	175	AVENUE C	10009	Chinese	12/24/13	Violations were cited in the following area(s).	06C	Food not protected from potential source of contamination during storage, preparation, transportation, display or service.	Critical	13	A	12/24/13	Pre-permit (Operational) / Re-inspection
KANA TAPAS BAR & RESTAURANT	MANHATTAN	324	SPRING STREET	10013	Tapas	1/2/14	Violations were cited in the following area(s).	10A	Toilet facility not maintained and provided with toilet paper, waste receptacle and self-closing door.	Not Critical	15	B	1/2/14	Cycle Inspection / Re-inspection
LOCANDA MARIELLA	BROOKLYN	492	6 AVENUE	11215	Italian	1/30/14	Violations were cited in the following area(s).	02B	Hot food item not held at or above 140 degrees F.	Critical	19	B	1/30/14	Pre-permit (Operational) / Re-inspection
DELICIA DONA MARIA RESTAURANT	QUEENS	8809	JAMAICA AVENUE	11421	Latin (Cuban, Dominican, Puerto Rican, South & Central American)	8/29/14	Violations were cited in the following area(s).	06D	Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.	Critical	7	A	8/29/14	Cycle Inspection / Re-inspection
AREPAS PUES MIXTAS	QUEENS	8315	37 AVENUE	11372	Latin (Cuban, Dominican, Puerto Rican, South & Central American)	5/21/15	Violations were cited in the following area(s).	02B	Hot food item not held at or above 140 degrees F.	Critical	17	B	5/21/15	Cycle Inspection / Re-inspection
FLAGSHIP DINER	QUEENS	13830	QUEENS BOULEVARD	11435	American	4/27/16	Violations were cited in the following area(s).	06C	Food not protected from potential source of contamination during storage, preparation, transportation, display or service.	Critical	13	A	4/27/16	Cycle Inspection / Initial Inspection
GEIDO RESTAURANT	BROOKLYN	331	FLATBUSH AVENUE	11217	Japanese	12/3/14	Violations were cited in the following area(s).	08A	Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.	Not Critical	13	A	12/3/14	Cycle Inspection / Re-inspection
BOARDWALK BAGEL	QUEENS	10801	ROCKAWAY BEACH DRIVE	11694	Bagels/Pretzels	5/18/15	Violations were cited in the following area(s).	10B	Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.	Not Critical	13	A	5/18/15	Cycle Inspection / Re-inspection
NEW CHINA	QUEENS	1446	COLLEGE POINT BLVD	11356	Chinese	5/31/16	Violations were cited in the following area(s).	08A	Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.	Not Critical	11	A	5/31/16	Cycle Inspection / Re-inspection
BERLYN	BROOKLYN	25	LAFAYETTE AVENUE	11217	German	5/1/16	Violations were cited in the following area(s).	02B	Hot food item not held at or above 140 degrees F.	Critical	12	A	5/1/16	Cycle Inspection / Re-inspection
PERA SOHO	MANHATTAN	54	THOMPSON STREET	10012	Turkish	6/4/13	Violations were cited in the following area(s).	06E	Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.	Critical	10	A	6/4/13	Cycle Inspection / Re-inspection
MAY WAH FAST FOOD	MANHATTAN	190	HESTER STREET	10013	Chinese	3/2/16	Violations were cited in the following area(s).	06D	Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.	Critical	7	A	3/2/16	Cycle Inspection / Re-inspection
BLOCKHEADS	MANHATTAN	175	WEST   90 STREET	10024	Tex-Mex	6/3/15	Violations were cited in the following area(s).	10B	Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.	Not Critical	11	A	6/3/15	Cycle Inspection / Re-inspection
FAMOUS FAMIGLIA PIZZERIA	MANHATTAN	488	8 AVENUE	10001	Pizza	5/13/14	Violations were cited in the following area(s).	09B	Thawing procedures improper.	Not Critical	11	A	5/13/14	Cycle Inspection / Re-inspection
ROYAL RIB HOUSE	BROOKLYN	303	HALSEY STREET	11216	Soul Food	4/5/14	Violations were cited in the following area(s).	10F	Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.	Not Critical	10	A	4/5/14	Cycle Inspection / Initial Inspection
DADDY'S CAFE	BROOKLYN	1939	MCDONALD AVENUE	11223	American	11/26/13	Violations were cited in the following area(s).	06F	Wiping cloths soiled or not stored in sanitizing solution.	Critical	13	A	11/26/13	Cycle Inspection / Initial Inspection
ZAYTOONS RESTAURANT	BROOKLYN	594	VANDERBILT AVENUE	11238	Middle Eastern	5/31/16	Violations were cited in the following area(s).	06C	Food not protected from potential source of contamination during storage, preparation, transportation, display or service.	Critical	8	A	5/31/16	Cycle Inspection / Initial Inspection
LUNG MOON BAKERY	MANHATTAN	83	MULBERRY STREET	10013	Bakery	6/4/14	Violations were cited in the following area(s).	02G	Cold food item held above 41 degrees F (smoked fish and reduced oxygen packaged foods above 38 degrees F) except during necessary preparation.	Critical	7	A	6/4/14	Cycle Inspection / Initial Inspection
SHILA BAR & WINE	BRONX	629	CRESCENT AVE	10458	American	7/5/13	Violations were cited in the following area(s).	04A	Food Protection Certificate not held by supervisor of food operations.	Critical	10	A	7/5/13	Cycle Inspection / Initial Inspection
OLD JOHN'S LUNCHEONETTE	MANHATTAN	148	WEST   67 STREET	10023	American	7/29/13	Violations were cited in the following area(s).	08A	Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.	Not Critical	11	A	7/29/13	Cycle Inspection / Re-inspection
2 BROS PIZZA	MANHATTAN	557	8 AVENUE	10018	Pizza	11/5/15	Violations were cited in the following area(s).	08A	Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.	Not Critical	10	A	11/5/15	Cycle Inspection / Re-inspection
HEARTLAND BREWERY	MANHATTAN	127	WEST   43 STREET	10036	American	12/23/15	Violations were cited in the following area(s).	04N	Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.	Critical	12	A	12/23/15	Cycle Inspection / Initial Inspection
MCDONALD'S	QUEENS	4018	MAIN STREET	11354	Hamburgers	1/13/15	Violations were cited in the following area(s).	10B	Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.	Not Critical	8	A	1/13/15	Cycle Inspection / Re-inspection
TAQUERIA JUAREZ RESTAURANT	QUEENS	9109	43RD AVE	11373	Mexican	2/28/16	Violations were cited in the following area(s).	06B	Tobacco use, eating, or drinking from open container in food preparation, food storage or dishwashing area observed.	Critical	11	A	2/28/16	Cycle Inspection / Initial Inspection
RISE BAR	MANHATTAN	859	9TH AVE	10019	American	8/25/16	Violations were cited in the following area(s).	10H	Proper sanitization not provided for utensil ware washing operation.	Not Critical	13	A	8/25/16	Cycle Inspection / Re-inspection
NO 1 CHINESE RESTAURANT	MANHATTAN	10	SOUTH WILLIAM STREET	10004	Chinese	7/28/14	Violations were cited in the following area(s).	02G	Cold food item held above 41 degrees F (smoked fish and reduced oxygen packaged foods above 38 degrees F) except during necessary preparation.	Critical	7	A	7/28/14	Cycle Inspection / Re-inspection
LE CAFE	MANHATTAN	575	5 AVENUE	10017	American	10/16/15	Violations were cited in the following area(s).	10F	Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.	Not Critical	8	A	10/16/15	Cycle Inspection / Initial Inspection
STRICTLY VEGETARIAN	BROOKLYN	2268	CHURCH AVENUE	11226	Vegetarian	7/28/14	Violations were cited in the following area(s).	08C	Pesticide use not in accordance with label or applicable laws. Prohibited chemical used/stored. Open bait station used.	Not Critical	10	A	7/28/14	Cycle Inspection / Initial Inspection
BROOKLYN DINER	MANHATTAN	1500	BROADWAY	10036	American	4/26/13	Violations were cited in the following area(s).	06E	Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.	Critical	10	A	4/26/13	Cycle Inspection / Initial Inspection
EL POLLO INKA PERU	QUEENS	7806	101 AVENUE	11416	Latin (Cuban, Dominican, Puerto Rican, South & Central American)	7/19/16	Violations were cited in the following area(s).	10I	Single service item reused, improperly stored, dispensed; not used when required.	Not Critical	16	B	7/19/16	Cycle Inspection / Re-inspection
RPM	MANHATTAN	266	BROOME STREET	10002	American	1/28/14	Violations were cited in the following area(s).	04L	Evidence of mice or live mice present in facility's food and/or non-food areas.	Critical	10	A	1/28/14	Pre-permit (Operational) / Initial Inspection
COLLEGE POINT DINER	QUEENS	1432	COLLEGE POINT BOULEVARD	11356	American	6/27/13	Violations were cited in the following area(s).	04L	Evidence of mice or live mice present in facility's food and/or non-food areas.	Critical	23	B	6/27/13	Cycle Inspection / Re-inspection
NORTHERN MANOR	QUEENS	25113	NORTHERN BLVD	11362	Chinese	8/4/15	Violations were cited in the following area(s).	10F	Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.	Not Critical	40	C	8/4/15	Cycle Inspection / Re-inspection
R.J.'S PLACE	BROOKLYN	1058	RUTLAND ROAD	11212	Caribbean	8/6/14	Violations were cited in the following area(s).	08C	Pesticide use not in accordance with label or applicable laws. Prohibited chemical used/stored. Open bait station used.	Not Critical	4	A	8/6/14	Cycle Inspection / Re-inspection
